speaker,class,original_file,augmented_file,aug_mode,rel_path
SPK001,proxima,2026-09-05_165834652.wav,2026-09-05_165834652_orig.wav,clean_original,SPK001/proxima/2026-09-05_165834652_orig.wav
SPK001,proxima,2026-09-05_165834652.wav,2026-09-05_165834652_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_165834652_aug_shift.wav
SPK001,proxima,2026-09-05_165834652.wav,2026-09-05_165834652_aug_noise.wav,noise,SPK001/proxima/2026-09-05_165834652_aug_noise.wav
SPK001,proxima,2026-09-05_165834652.wav,2026-09-05_165834652_aug_gain.wav,gain,SPK001/proxima/2026-09-05_165834652_aug_gain.wav
SPK001,proxima,2026-09-05_165834652.wav,2026-09-05_165834652_aug_comp.wav,composite,SPK001/proxima/2026-09-05_165834652_aug_comp.wav
SPK001,proxima,2026-09-05_170206538.wav,2026-09-05_170206538_orig.wav,clean_original,SPK001/proxima/2026-09-05_170206538_orig.wav
SPK001,proxima,2026-09-05_170206538.wav,2026-09-05_170206538_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170206538_aug_shift.wav
SPK001,proxima,2026-09-05_170206538.wav,2026-09-05_170206538_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170206538_aug_noise.wav
SPK001,proxima,2026-09-05_170206538.wav,2026-09-05_170206538_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170206538_aug_gain.wav
SPK001,proxima,2026-09-05_170206538.wav,2026-09-05_170206538_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170206538_aug_comp.wav
SPK001,proxima,2026-09-05_170218048.wav,2026-09-05_170218048_orig.wav,clean_original,SPK001/proxima/2026-09-05_170218048_orig.wav
SPK001,proxima,2026-09-05_170218048.wav,2026-09-05_170218048_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170218048_aug_shift.wav
SPK001,proxima,2026-09-05_170218048.wav,2026-09-05_170218048_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170218048_aug_noise.wav
SPK001,proxima,2026-09-05_170218048.wav,2026-09-05_170218048_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170218048_aug_gain.wav
SPK001,proxima,2026-09-05_170218048.wav,2026-09-05_170218048_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170218048_aug_comp.wav
SPK001,proxima,2026-09-05_170234702.wav,2026-09-05_170234702_orig.wav,clean_original,SPK001/proxima/2026-09-05_170234702_orig.wav
SPK001,proxima,2026-09-05_170234702.wav,2026-09-05_170234702_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170234702_aug_shift.wav
SPK001,proxima,2026-09-05_170234702.wav,2026-09-05_170234702_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170234702_aug_noise.wav
SPK001,proxima,2026-09-05_170234702.wav,2026-09-05_170234702_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170234702_aug_gain.wav
SPK001,proxima,2026-09-05_170234702.wav,2026-09-05_170234702_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170234702_aug_comp.wav
SPK001,proxima,2026-09-05_170258320.wav,2026-09-05_170258320_orig.wav,clean_original,SPK001/proxima/2026-09-05_170258320_orig.wav
SPK001,proxima,2026-09-05_170258320.wav,2026-09-05_170258320_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170258320_aug_shift.wav
SPK001,proxima,2026-09-05_170258320.wav,2026-09-05_170258320_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170258320_aug_noise.wav
SPK001,proxima,2026-09-05_170258320.wav,2026-09-05_170258320_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170258320_aug_gain.wav
SPK001,proxima,2026-09-05_170258320.wav,2026-09-05_170258320_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170258320_aug_comp.wav
SPK001,proxima,2026-09-05_170303448.wav,2026-09-05_170303448_orig.wav,clean_original,SPK001/proxima/2026-09-05_170303448_orig.wav
SPK001,proxima,2026-09-05_170303448.wav,2026-09-05_170303448_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170303448_aug_shift.wav
SPK001,proxima,2026-09-05_170303448.wav,2026-09-05_170303448_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170303448_aug_noise.wav
SPK001,proxima,2026-09-05_170303448.wav,2026-09-05_170303448_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170303448_aug_gain.wav
SPK001,proxima,2026-09-05_170303448.wav,2026-09-05_170303448_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170303448_aug_comp.wav
SPK001,proxima,2026-09-05_170308942.wav,2026-09-05_170308942_orig.wav,clean_original,SPK001/proxima/2026-09-05_170308942_orig.wav
SPK001,proxima,2026-09-05_170308942.wav,2026-09-05_170308942_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170308942_aug_shift.wav
SPK001,proxima,2026-09-05_170308942.wav,2026-09-05_170308942_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170308942_aug_noise.wav
SPK001,proxima,2026-09-05_170308942.wav,2026-09-05_170308942_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170308942_aug_gain.wav
SPK001,proxima,2026-09-05_170308942.wav,2026-09-05_170308942_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170308942_aug_comp.wav
SPK001,proxima,2026-09-05_170316488.wav,2026-09-05_170316488_orig.wav,clean_original,SPK001/proxima/2026-09-05_170316488_orig.wav
SPK001,proxima,2026-09-05_170316488.wav,2026-09-05_170316488_aug_shift.wav,time_shift,SPK001/proxima/2026-09-05_170316488_aug_shift.wav
SPK001,proxima,2026-09-05_170316488.wav,2026-09-05_170316488_aug_noise.wav,noise,SPK001/proxima/2026-09-05_170316488_aug_noise.wav
SPK001,proxima,2026-09-05_170316488.wav,2026-09-05_170316488_aug_gain.wav,gain,SPK001/proxima/2026-09-05_170316488_aug_gain.wav
SPK001,proxima,2026-09-05_170316488.wav,2026-09-05_170316488_aug_comp.wav,composite,SPK001/proxima/2026-09-05_170316488_aug_comp.wav
