epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6767757534980774,0.5660919547080994,0.6935868263244629,0.39080458879470825
2,0.5775278210639954,0.6954023241996765,0.7205114960670471,0.39080458879470825
3,0.4979243576526642,0.7701149582862854,0.7790907025337219,0.39080458879470825
4,0.41115114092826843,0.818965494632721,0.8652151823043823,0.39080458879470825
5,0.3052491545677185,0.8936781883239746,1.0145095586776733,0.39080458879470825
6,0.2436250001192093,0.8994252681732178,1.2168033123016357,0.39080458879470825
7,0.16869890689849854,0.959770143032074,1.3700153827667236,0.39080458879470825
8,0.15181748569011688,0.9626436829566956,1.6952897310256958,0.39080458879470825
9,0.10740919411182404,0.9741379022598267,1.9515076875686646,0.39080458879470825
10,0.10650444030761719,0.9712643623352051,1.6609553098678589,0.39080458879470825
11,0.06636214256286621,0.9856321811676025,1.1653891801834106,0.40229883790016174
12,0.05470702797174454,0.9942528605461121,1.6751787662506104,0.39080458879470825
13,0.05360213667154312,0.9885057210922241,1.8724372386932373,0.4137931168079376
14,0.047793954610824585,0.9885057210922241,1.4154220819473267,0.48275861144065857
15,0.030919678509235382,0.9971264600753784,1.6761415004730225,0.48275861144065857
16,0.026797940954566002,1.0,1.92724609375,0.49425286054611206
17,0.040899790823459625,0.9885057210922241,0.8244102001190186,0.5862069129943848
18,0.08367029577493668,0.9683908224105835,1.3803434371948242,0.5517241358757019
19,0.05264786630868912,0.9885057210922241,0.3840653896331787,0.8850574493408203
20,0.057747744023799896,0.982758641242981,0.2673233151435852,0.8965517282485962
21,0.053544215857982635,0.982758641242981,0.5298382043838501,0.7356321811676025
22,0.029194684699177742,0.9971264600753784,0.44300007820129395,0.7816091775894165
23,0.015732860192656517,1.0,0.37367451190948486,0.8390804529190063
24,0.012782443314790726,1.0,0.5198165774345398,0.7701149582862854
25,0.007966108620166779,1.0,0.3664166331291199,0.8505747318267822
26,0.009679009206593037,1.0,0.2990724742412567,0.8620689511299133
27,0.0074301366694271564,1.0,0.1815083771944046,0.9080459475517273
28,0.00884014181792736,1.0,0.2726893424987793,0.8850574493408203
29,0.006733608432114124,1.0,0.21284200251102448,0.9080459475517273
30,0.00727220019325614,1.0,0.14787328243255615,0.9195402264595032
31,0.00496109900996089,1.0,0.15123893320560455,0.9195402264595032
32,0.00612526573240757,1.0,0.15255138278007507,0.9195402264595032
33,0.006031975615769625,1.0,0.17676809430122375,0.931034505367279
34,0.007711701560765505,1.0,0.17468154430389404,0.931034505367279
35,0.006096983794122934,1.0,0.1743478924036026,0.9080459475517273
36,0.006235381588339806,1.0,0.1496737152338028,0.931034505367279
37,0.006412843707948923,1.0,0.1529609113931656,0.9195402264595032
38,0.006400416139513254,1.0,0.16414426267147064,0.931034505367279
39,0.005413065664470196,1.0,0.18728108704090118,0.931034505367279
40,0.0059898230247199535,1.0,0.19213458895683289,0.9195402264595032
41,0.00635564187541604,1.0,0.18935078382492065,0.9195402264595032
42,0.005607233848422766,1.0,0.1987791806459427,0.9195402264595032
43,0.005997907370328903,1.0,0.20216135680675507,0.9080459475517273
44,0.0037730117328464985,1.0,0.19573593139648438,0.9080459475517273
45,0.0037105700466781855,1.0,0.18845036625862122,0.9080459475517273
46,0.004453589674085379,1.0,0.18609082698822021,0.9080459475517273
47,0.0039529805071651936,1.0,0.18078142404556274,0.8965517282485962
48,0.00389968603849411,1.0,0.18004116415977478,0.8965517282485962
49,0.003736102720722556,1.0,0.1817048341035843,0.8965517282485962
50,0.009466331452131271,0.9971264600753784,0.16664423048496246,0.9195402264595032
