filename,original_path,split,speaker,class
2026-09-05_170632936.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170632936.wav,train,SPK001,proxima
2026-09-05_170511230.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170511230.wav,train,SPK001,proxima
2026-09-05_170410928.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170410928.wav,train,SPK001,proxima
2026-09-05_170710325.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170710325.wav,train,SPK001,proxima
2026-09-05_170800447.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170800447.wav,train,SPK001,proxima
2026-09-05_170308942.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170308942.wav,train,SPK001,proxima
2026-09-05_170303448.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170303448.wav,train,SPK001,proxima
2026-09-05_170431419.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170431419.wav,train,SPK001,proxima
2026-09-05_170425586.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170425586.wav,train,SPK001,proxima
2026-09-05_170527575.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170527575.wav,train,SPK001,proxima
2026-09-05_170400350.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170400350.wav,train,SPK001,proxima
2026-09-05_170725488.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170725488.wav,train,SPK001,proxima
2026-09-05_170905329.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170905329.wav,train,SPK001,proxima
2026-09-05_170703414.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170703414.wav,train,SPK001,proxima
2026-09-05_170609444.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170609444.wav,train,SPK001,proxima
2026-09-05_170836115.wav,PROXIMA_DATA_1/SPK001/proxima/2026-09-05_170836115.wav,train,SPK001,proxima
